ts_open,mode,dir,entry,actual_pnl,actual_reason,LADDER_pnl,LADDER_reason,RATCHET_pnl,RATCHET_reason
2026-06-18T16:45:03Z,EMA_PULLBACK_S,SELL,13218.4,-10.6,STRUCTURE_EXIT:structure_flip_up: last_close=13226.65000 > prior_5_high=13225.85000_ pnl=-10.1p,12.449999999998909,FLAT_2040,12.449999999998909,FLAT_2040
2026-06-22T13:05:01Z,EMA_PULLBACK_L,BUY,13264.7,-14.5,STRUCTURE_EXIT:structure_flip_down: last_close=13250.65000 < prior_5_low=13253.65000_ pnl=-14.0p,-12.0,INIT_SL,-12.0,SL
2026-06-22T15:15:01Z,EMA_PULLBACK_L,BUY,13260.5,-14.2,STRUCTURE_EXIT:structure_flip_down: last_close=13246.75000 < prior_5_low=13251.45000_ pnl=-14.0p,-12.0,INIT_SL,-12.0,SL
2026-06-23T09:05:02Z,EMA_PULLBACK_S,SELL,13217.8,-10.6,STRUCTURE_EXIT:structure_flip_up: last_close=13227.25000 > prior_5_high=13223.75000_ pnl=-10.0p,-12.0,INIT_SL,-12.0,SL
2026-06-23T15:00:01Z,EMA_PULLBACK_S,SELL,13200.9,14.55,TP hit,12.649999999999636,LADDER_RATCHET_STOP,0.0,SL
2026-06-23T16:10:02Z,EMA_PULLBACK_S,SELL,13188.0,-11.4,STRUCTURE_EXIT:structure_flip_up: last_close=13198.85000 > prior_5_high=13197.95000_ pnl=-11.0p,-5.450000000000728,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-06-24T07:00:01Z,EMA_PULLBACK_S,SELL,13186.3,0.45,BE_STOP_POST_SCALEOUT,-1.25,LADDER_RATCHET_STOP,-12.0,SL
2026-06-24T08:40:04Z,EMA_PULLBACK_S,SELL,13186.8,-10.9,STRUCTURE_EXIT:structure_flip_up: last_close=13195.75000 > prior_5_high=13194.55000_ pnl=-10.2p,-6.150000000001455,LADDER_ASSESS_EXPIRED,30.649999999997817,EXHAUSTION
2026-06-24T09:35:01Z,EMA_PULLBACK_S,SELL,13178.3,16.65,external/manual close (IG monitor),-2.25,LADDER_ASSESS_EXPIRED,33.95000000000073,EXHAUSTION
2026-06-24T10:50:01Z,EMA_PULLBACK_S,SELL,13159.9,1.45,BE_STOP_POST_SCALEOUT,5.350000000000364,LADDER_ASSESS_EXPIRED,0.0,SL
2026-06-24T13:10:02Z,EMA_PULLBACK_S,SELL,13145.9,-20.25,SL hit,-12.0,INIT_SL,-12.0,SL
2026-06-25T09:05:04Z,EMA_PULLBACK_L,BUY,13192.0,-12.7,STRUCTURE_EXIT:structure_flip_down: last_close=13179.75000 < prior_5_low=13183.05000_ pnl=-12.3p,-4.650000000001455,LADDER_ASSESS_EXPIRED,-12.0,SL
